review_id,user_id,product_id,rating,comment
59,68,233,5,This is SQL comment for product 5
60,218,56,4,This is SQL comment for product 51
61,35,267,5,This is SQL comment for product 48
62,5,42,2,This is SQL comment for product 164
63,21,28,4,This is SQL comment for product 136
64,201,123,1,This is SQL comment for product 231
65,275,54,2,This is SQL comment for product 253
66,197,272,4,This is SQL comment for product 95
67,256,121,1,This is SQL comment for product 297
68,79,75,5,This is SQL comment for product 270
69,22,284,5,This is SQL comment for product 139
70,285,271,1,This is SQL comment for product 246
71,240,272,1,This is SQL comment for product 164
72,24,269,4,This is SQL comment for product 279
73,176,232,4,This is SQL comment for product 3
74,12,266,4,This is SQL comment for product 40
75,159,277,3,This is SQL comment for product 2
76,107,207,3,This is SQL comment for product 145
77,4,47,3,This is SQL comment for product 76
78,172,194,1,This is SQL comment for product 30
79,218,212,3,This is SQL comment for product 63
80,123,272,3,This is SQL comment for product 7
81,187,16,4,This is SQL comment for product 26
82,44,166,4,This is SQL comment for product 70
83,257,237,5,This is SQL comment for product 83
84,77,118,3,This is SQL comment for product 144
85,25,112,5,This is SQL comment for product 136
86,143,1,2,This is SQL comment for product 258
87,128,93,4,This is SQL comment for product 19
88,133,112,4,This is SQL comment for product 271
89,35,268,3,This is SQL comment for product 253
90,202,232,3,This is SQL comment for product 98
91,268,224,3,This is SQL comment for product 282
92,77,295,5,This is SQL comment for product 250
93,37,129,5,This is SQL comment for product 221
94,46,263,4,This is SQL comment for product 269
95,276,134,3,This is SQL comment for product 186
96,159,118,5,This is SQL comment for product 200
97,23,234,3,This is SQL comment for product 203
98,205,206,1,This is SQL comment for product 123
99,204,106,5,This is SQL comment for product 281
100,58,49,4,This is SQL comment for product 199
101,223,185,2,This is SQL comment for product 59
102,191,148,5,This is SQL comment for product 131
103,88,117,5,This is SQL comment for product 5
104,29,11,5,This is SQL comment for product 147
105,17,210,2,This is SQL comment for product 74
106,117,245,2,This is SQL comment for product 122
107,78,284,5,This is SQL comment for product 71
108,103,138,1,This is SQL comment for product 170
109,241,118,4,This is SQL comment for product 86
110,72,151,4,This is SQL comment for product 291
111,94,142,2,This is SQL comment for product 72
112,10,211,3,This is SQL comment for product 114
113,31,235,3,This is SQL comment for product 158
114,184,102,3,This is SQL comment for product 139
115,122,126,5,This is SQL comment for product 250
116,125,144,3,This is SQL comment for product 188
117,48,261,4,This is SQL comment for product 191
118,143,21,5,This is SQL comment for product 236
119,139,50,2,This is SQL comment for product 158
120,110,189,2,This is SQL comment for product 183
121,259,213,5,This is SQL comment for product 198
122,128,108,1,This is SQL comment for product 291
123,13,11,5,This is SQL comment for product 32
124,201,61,3,This is SQL comment for product 65
125,113,208,1,This is SQL comment for product 173
126,42,135,1,This is SQL comment for product 129
127,39,91,4,This is SQL comment for product 162
128,222,5,5,This is SQL comment for product 203
129,188,160,5,This is SQL comment for product 3
130,282,13,1,This is SQL comment for product 126
131,54,189,1,This is SQL comment for product 155
132,71,35,4,This is SQL comment for product 190
133,252,198,5,This is SQL comment for product 283
134,284,88,4,This is SQL comment for product 226
135,204,10,4,This is SQL comment for product 93
136,170,121,1,This is SQL comment for product 43
137,14,249,3,This is SQL comment for product 216
138,162,215,3,This is SQL comment for product 280
139,264,103,1,This is SQL comment for product 207
140,140,253,4,This is SQL comment for product 109
141,86,77,3,This is SQL comment for product 267
142,187,229,3,This is SQL comment for product 274
143,16,45,4,This is SQL comment for product 114
144,283,298,1,This is SQL comment for product 85
145,186,139,3,This is SQL comment for product 27
146,23,104,2,This is SQL comment for product 57
147,57,64,4,This is SQL comment for product 87
148,268,153,2,This is SQL comment for product 273
149,87,52,4,This is SQL comment for product 110
150,54,48,4,This is SQL comment for product 2
151,134,294,4,This is SQL comment for product 2
152,228,173,2,This is SQL comment for product 38
153,103,86,5,This is SQL comment for product 111
154,187,121,5,This is SQL comment for product 67
155,214,206,1,This is SQL comment for product 159
156,86,119,3,This is SQL comment for product 252
157,3,299,3,This is SQL comment for product 150
158,31,293,4,This is SQL comment for product 251
159,57,85,3,This is SQL comment for product 17
160,252,261,5,This is SQL comment for product 167
161,194,74,1,This is SQL comment for product 97
162,158,69,4,This is SQL comment for product 202
163,252,265,5,This is SQL comment for product 183
164,244,180,4,This is SQL comment for product 197
165,190,43,3,This is SQL comment for product 197
166,173,177,1,This is SQL comment for product 132
167,255,2,2,This is SQL comment for product 39
168,254,203,3,This is SQL comment for product 155
169,267,169,2,This is SQL comment for product 119
170,208,137,2,This is SQL comment for product 254
171,117,208,5,This is SQL comment for product 200
172,79,40,2,This is SQL comment for product 257
173,73,137,5,This is SQL comment for product 182
174,291,17,4,This is SQL comment for product 10
175,289,213,3,This is SQL comment for product 13
176,95,232,3,This is SQL comment for product 147
177,28,254,3,This is SQL comment for product 196
178,62,16,1,This is SQL comment for product 100
179,160,34,1,This is SQL comment for product 204
180,106,149,3,This is SQL comment for product 227
181,26,158,1,This is SQL comment for product 220
182,247,80,3,This is SQL comment for product 297
183,111,257,4,This is SQL comment for product 53
184,45,285,1,This is SQL comment for product 234
185,273,123,1,This is SQL comment for product 242
186,148,173,4,This is SQL comment for product 1
187,134,48,5,This is SQL comment for product 266
188,272,190,1,This is SQL comment for product 11
189,54,6,5,This is SQL comment for product 291
190,179,57,4,This is SQL comment for product 158
191,169,60,4,This is SQL comment for product 60
192,136,295,5,This is SQL comment for product 238
193,235,299,4,This is SQL comment for product 265
194,295,47,5,This is SQL comment for product 194
195,21,135,4,This is SQL comment for product 270
196,106,85,5,This is SQL comment for product 141
197,128,271,2,This is SQL comment for product 17
198,233,24,2,This is SQL comment for product 65
199,194,289,2,This is SQL comment for product 97
200,58,224,1,This is SQL comment for product 143
201,64,47,2,This is SQL comment for product 77
202,42,177,5,This is SQL comment for product 154
203,236,25,2,This is SQL comment for product 94
204,268,90,3,This is SQL comment for product 295
205,65,148,2,This is SQL comment for product 227
206,140,186,1,This is SQL comment for product 62
207,260,291,3,This is SQL comment for product 23
208,75,149,5,This is SQL comment for product 45
209,246,216,5,This is SQL comment for product 264
210,52,214,1,This is SQL comment for product 108
211,275,49,2,This is SQL comment for product 201
212,182,24,5,This is SQL comment for product 55
213,210,193,4,This is SQL comment for product 72
214,189,197,1,This is SQL comment for product 235
215,95,80,3,This is SQL comment for product 184
216,31,129,3,This is SQL comment for product 265
217,263,57,4,This is SQL comment for product 219
218,5,110,2,This is SQL comment for product 205
219,231,247,3,This is SQL comment for product 7
220,229,106,2,This is SQL comment for product 202
221,66,273,1,This is SQL comment for product 88
222,106,290,2,This is SQL comment for product 222
223,274,118,1,This is SQL comment for product 161
224,17,289,4,This is SQL comment for product 274
225,23,287,3,This is SQL comment for product 105
226,249,134,5,This is SQL comment for product 178
227,43,177,2,This is SQL comment for product 198
228,203,120,1,This is SQL comment for product 281
229,101,136,1,This is SQL comment for product 24
230,111,102,4,This is SQL comment for product 253
231,64,22,5,This is SQL comment for product 201
232,150,64,4,This is SQL comment for product 202
233,250,291,2,This is SQL comment for product 119
234,234,207,4,This is SQL comment for product 44
235,97,166,4,This is SQL comment for product 3
236,300,37,4,This is SQL comment for product 123
237,61,72,2,This is SQL comment for product 55
238,261,29,5,This is SQL comment for product 216
239,6,231,5,This is SQL comment for product 99
240,64,95,2,This is SQL comment for product 274
241,278,289,1,This is SQL comment for product 291
242,204,53,1,This is SQL comment for product 72
243,138,234,3,This is SQL comment for product 178
244,155,113,2,This is SQL comment for product 138
245,160,91,2,This is SQL comment for product 145
246,267,166,1,This is SQL comment for product 268
247,53,180,2,This is SQL comment for product 57
248,180,232,3,This is SQL comment for product 125
249,129,163,2,This is SQL comment for product 269
250,52,7,4,This is SQL comment for product 65
251,265,202,2,This is SQL comment for product 296
252,247,293,1,This is SQL comment for product 17
253,112,56,2,This is SQL comment for product 122
254,63,5,3,This is SQL comment for product 199
255,182,126,1,This is SQL comment for product 133
256,156,211,3,This is SQL comment for product 69
257,70,242,4,This is SQL comment for product 148
258,131,123,2,This is SQL comment for product 213
259,31,96,5,This is SQL comment for product 295
260,261,52,4,This is SQL comment for product 97
261,165,119,5,This is SQL comment for product 139
262,62,164,1,This is SQL comment for product 124
263,254,281,4,This is SQL comment for product 146
264,97,182,4,This is SQL comment for product 35
265,71,134,2,This is SQL comment for product 219
266,32,11,3,This is SQL comment for product 105
267,36,274,5,This is SQL comment for product 138
268,215,235,4,This is SQL comment for product 187
269,41,143,3,This is SQL comment for product 186
270,141,32,5,This is SQL comment for product 125
271,266,152,4,This is SQL comment for product 10
272,136,213,2,This is SQL comment for product 192
273,37,180,5,This is SQL comment for product 230
274,60,120,3,This is SQL comment for product 129
275,126,220,4,This is SQL comment for product 54
276,219,261,5,This is SQL comment for product 114
277,48,252,2,This is SQL comment for product 95
278,253,174,3,This is SQL comment for product 81
279,278,172,3,This is SQL comment for product 245
280,91,189,2,This is SQL comment for product 40
281,142,244,2,This is SQL comment for product 127
282,133,113,1,This is SQL comment for product 79
283,183,291,5,This is SQL comment for product 176
284,88,5,4,This is SQL comment for product 123
285,239,146,2,This is SQL comment for product 241
286,204,39,1,This is SQL comment for product 202
287,280,17,2,This is SQL comment for product 120
288,35,122,1,This is SQL comment for product 166
289,176,189,3,This is SQL comment for product 224
290,25,170,3,This is SQL comment for product 90
291,55,284,5,This is SQL comment for product 121
292,230,111,1,This is SQL comment for product 122
293,63,291,1,This is SQL comment for product 217
294,175,285,1,This is SQL comment for product 82
295,179,276,1,This is SQL comment for product 103
296,238,173,5,This is SQL comment for product 241
297,233,99,5,This is SQL comment for product 186
298,291,79,3,This is SQL comment for product 93
299,203,9,4,This is SQL comment for product 202
